;aspiration;body-style;bore;city-mpg;compression-ratio;curb-weight;drive-wheels;engine-location;engine-size;engine-type;fuel-system;fuel-type;height;highway-mpg;horsepower;length;make;normalized-losses;num-of-cylinders;num-of-doors;peak-rpm;price;stroke;weight;wheel-base;width
159; -;hatchback;3.27;38;22.50;2275;fwd;front;110;ohc;idi;diesel;52.80;47;70,42;166.30; -;91;four;four;4500;778800;3.35;0;95.70;64.40
160;-;sedan;3.19;38;9.00;2094;fwd;front;98;ohc;2bbl;gas;53.00;47;70,40;166.30;toyota;91;four;four;4800;773800;3.03;0;95.70;64.40
161;- ;hatchback;3.19;28;9.00;2122;fwd;front;98;ohc;2bbl;gas;52.80;34;70,95;166.30;toyota;91;-;four;4800;835800;3.03;0;95.70;64.40
162; -;sedan;3.19;28;9.00;2140;fwd;front;98;ohc;2bbl;gas;52.80;34;70,33;166.30;toyota;91;four;four;4800;925800;3.03;0;95.70;64.40
163;std;sedan;3.19;29;9.00;2169;rwd;front;98;ohc;2bbl;gas;52.60;34;112,38;168.70;toyota;168;four;two;4800;805800;3.03;1;94.50;64.00
164;std;hatchback;3.19;29;9.00;2204;rwd;front;98;ohc;2bbl;gas;52.60;34;112,71;168.70;toyota;168;four;two;4800;823800;3.03;1;94.50;64.00
165; -;sedan;3.24;26;9.40;2265;rwd;front;98;dohc;mpfi;gas;52.60;29; -;168.70;toyota;168;four;two;6600;929800;3.08;1;94.50;64.00
166;std;hatchback;3.24;26;9.40;2300;rwd;front;98;dohc;mpfi;gas;52.60;29; -;168.70;toyota;168;four;two;6600;953800;3.08;1;94.50;64.00
167;std;hardtop;3.62;24;9.30;2540;rwd;front;146;ohc;mpfi;gas;52.00;30;116,01;176.20; -;134;four;two;4800;844900;3.50;2;98.40;65.60
168;std;hardtop;3.62;24;9.30;2536;rwd;front;146;ohc;mpfi;gas;52.00;30;116,22;176.20;toyota;134;four;two;4800;963900;3.50;2;98.40;65.60
169;std;hatchback;3.62;24;9.30;2551;rwd;front;146;ohc;mpfi;gas;52.00;30;-;176.20;toyota;134;four;two;4800;998900;3.50;2;98.40;65.60
170;std;hardtop;3.62;24;9.30;2679;rwd;front;146;ohc;mpfi;gas;52.00;30;116,56;176.20;toyota;134;four;two;4800; -;3.50; -;98.40;65.60
171;std;hatchback;3.62;24;9.30;2714;rwd;front;146;ohc;mpfi;gas;52.00;30;92,84;176.20;toyota;134;four;two;4800;1154900;3.50;2;98.40;65.60
172;std;convertible;3.62;24;9.30;2975;rwd;front;146;ohc;mpfi;gas;53.00;30;73,83;176.20;toyota;134;four;two;4800;1766900;3.50;2;98.40;65.60
173;std;sedan;3.31;29;8.70;2326;fwd; -;122;ohc;mpfi;gas;54.90;34;92,60;175.60;toyota;65;four;four;4200;894800;3.54;-;102.40;66.50
174;turbo;sedan;3.27;30;22.50;2480;fwd;front;110;ohc;idi;diesel;54.90;33;92,35;175.60;toyota;65;four;four;4500;1069800;3.35;-1;102.40;66.50
175;std;hatchback;3.31;27;8.70;2414;fwd;front;122;ohc;mpfi;gas;53.90;32;92,79;175.60;toyota;65;four;four;4200; -;3.54;-1;102.40;66.50
176;std;sedan;3.31;27;8.70;2414;fwd;front;122;ohc;mpfi;gas;54.90;32;161,37;175.60;toyota;65;four;four;4200;1089800;3.54;-1;102.40;66.50
177;std;hatchback;3.31;27;8.70;2458;fwd;-;- ;ohc;mpfi;gas;53.90;32;-;175.60;toyota;65;four;four;4200;1124800;3.54;-1;102.40;66.50
178;std;hatchback;3.27;20;9.30;2976;rwd;front;171;dohc;mpfi;gas;52.00;24;156,63;183.50;toyota;197;six;two;5200;1655800;3.35;3;102.90;67.70
179;std;hatchback;3.27;19;9.30;3016;rwd;front;171;dohc;mpfi;gas;52.00;24;-;183.50;toyota;197;six;two;5200;1599800;3.35;3;102.90;67.70
180;std;sedan;3.27;20;9.20;3131;rwd;-;171;dohc;mpfi;gas;54.10;24;52,70;187.80;toyota;90;six;four;5200;1569000;3.35;-1;104.50;66.50
181;std;wagon;3.27;19;9.20;3151;rwd;front;161;dohc;mpfi;gas;54.10;24;85,25;187.80;toyota;-;six;four;5200;1575000;3.35;-1;104.50;66.50
182;std;sedan;3.01;37;23.00;2261;fwd; -;97;ohc;idi;diesel;55.70;46;52,61;171.70;volkswagen;122;four;two;4800;777500;3.40;2;97.30;65.50
183;std;sedan;3.19;27;9.00;2209;fwd;front;109;ohc;mpfi;gas;55.70;34;85,33;171.70;volkswagen;122;-;two;5250;797500;3.40;2;97.30;65.50
184;std;sedan;3.01;37;23.00;2264;fwd;front;97;ohc;idi;diesel;55.70;46;85,04;171.70;volkswagen;94;four;four;4800;- ;3.40;2;97.30;65.50
185;std;sedan;3.19;27;9.00;2212;fwd;front;109;ohc;mpfi;gas;55.70;34;68,41;171.70;volkswagen;94;four;four;5250;819500;3.40;2;97.30;65.50
186;std;sedan;3.19;27;9.00;2275;fwd;front;109;ohc;mpfi;gas;55.70;34; -;171.70;volkswagen;94;four;four;5250;849500;3.40;2;97.30;65.50
187;turbo;sedan;3.01;37;23.00;2319;fwd;front;97;ohc;idi;diesel;55.70;42;90,40;171.70;volkswagen;94;four;four;4500;949500;3.40;2;97.30;65.50
188;std;sedan;3.19;26;10.00;2300;fwd;front;109;ohc;mpfi;gas;55.70;32;90,90;171.70;volkswagen;94;four;four;5500;999500;3.40;2;97.30;65.50
189;std;convertible;3.19;24;8.50;2254;fwd;front;109;ohc;mpfi;gas;55.60;29;110,82;159.30;volkswagen;-;four;two;5500;1159500;3.40;3;94.50;64.20
190;std;hatchback;3.19;24;8.50;2221;fwd;front;109;ohc;mpfi;gas;51.40;29;68,67;165.70;volkswagen;256;four;two;5500;998000;3.40;3;94.50;64.00
191;-;sedan;3.19;19;8.50;2661;fwd;- ;136;ohc;mpfi;gas;55.10;24;88,14;180.20;volkswagen;-;five;four;5500;1329500;3.40;0;100.40;66.90
192;turbo;sedan;3.01;33;23.00;2579;fwd;front;97;ohc;idi;diesel;55.10;38;114,65;180.20;- ;-; -;four;4500;1384500;3.40;- ;100.40;66.90
193;std;wagon;3.19;25;9.00;2563;fwd; -;109;ohc;mpfi;gas;55.10;31;114,00;183.10;volkswagen;-;four;four;5500;1229000;3.40;0;100.40;66.90
194;std;sedan;3.78;23;9.50;2912;rwd;front;- ;ohc;mpfi;gas;56.20;28;114,12;188.80;volvo;103;four;four;5400;1294000;3.15;-2;104.30;67.20
195;std;wagon;3.78;23;9.50;3034;rwd;front;141;ohc;mpfi;gas;57.50;28;114,01;188.80;volvo;74;four;four;5400;1341500;3.15;-1;104.30;67.20
196;std;sedan;3.78;24;9.50;2935;rwd;front;141;ohc;mpfi;gas;56.20;28;162,29;188.80; -;103;four;four;5400;1598500;3.15;-2;104.30;67.20
197;std;wagon;3.78;24;9.50;3042;rwd;front;141;ohc;mpfi;gas;57.50;28;162,02;188.80;volvo;74;four;four;5400;1651500;3.15;-1;104.30;67.20
198;turbo;sedan;3.62;17;7.50;3045;rwd;front;130;ohc;mpfi;gas;56.20;22;114,62;188.80;volvo;103;four;four;5100;1842000;3.15;-2;104.30;67.20
199;- ;wagon;3.62;17;7.50;3157;rwd;- ;130;ohc;mpfi;gas;57.50;22;160,79;188.80;volvo;74;four;four;5100;1895000;3.15;- ;104.30;67.20
200;std;sedan;3.78;23;9.50;2952;rwd;front;141;ohc;mpfi;gas;55.50;28;134,85;188.80;volvo;95;-;four;5400;1684500;3.15;-1;109.10;68.90
201;turbo;sedan;3.78;19;8.70;3049;rwd; -;141;ohc;mpfi;gas;55.50;25;106,38;188.80;volvo;95;four;four;5300;1904500;3.15;-1;109.10;68.80
202;- ;sedan;3.58;18;8.80;3012;rwd;front; -;ohcv;mpfi;gas;55.50;23;114,74;188.80;volvo;95;six;four;5500;2148500;2.87;-1;109.10;68.90
203;turbo;sedan;3.01;26;23.00;3217;rwd;front;145;ohc;idi;diesel;55.50;27;111,03;188.80;volvo;95; -;four;4800;2247000;3.40; -;109.10;68.90
204;turbo;sedan;3.78;19;9.50;3062;rwd;front;141;ohc;mpfi;gas;55.50;25;111,73;188.80;volvo;95;four;four;5400;2262500;3.15;-1;109.10;68.90
